1.91, -0.34
1.42, -0.34
1.91, -0.34
1.91, -0.34
1.91, -0.34
1.42, -0.82
1.91, -0.82
2.41, -0.82
2.91, -0.82
2.41, -0.34
2.91, -0.34
3.41, -0.34
3.41, -0.82
1.42, 0.15
1.91, 0.15
2.41, 0.15
2.91, 0.15
3.41, 0.15
3.91, 0.15
3.91, -0.34
1.42, 0.64
1.91, 0.64
2.41, 0.64
2.41, 0.64
2.91, 0.64
3.41, 0.64
3.91, 0.64
3.91, 0.64
4.41, 0.64
4.41, 0.15
4.91, 0.64
4.91, 0.15
1.42, 1.13
1.91, 1.13
2.41, 1.13
2.91, 1.13
2.91, 1.13
3.41, 1.13
3.91, 1.13
4.41, 1.13
4.91, 1.13
1.91, 1.62
1.42, 1.62
2.41, 1.62
2.91, 1.62
3.41, 1.62
3.91, 1.62
2.41, 2.11
1.91, 2.11
1.42, 2.11
2.91, 2.11
3.41, 2.11
3.91, 2.11
1.42, 0.15
1.42, 0.64
0.92, 1.13
0.92, 0.64
0.92, 0.15
0.42, 1.13
0.42, 0.64
0.42, 0.15
4.41, -0.34
